,,,,,,,,,Lugar de grado
Instituciones,Programa,Sexo,Periodo graduación,Año de corte,Tipo de cotizante,Sector económico,17 Rangos salariales,7 Rangos salariales,País
Código institución,Código programa,Sexo,Semestre,Año,Tipo de cotizante,Sección,17 Rangos salariales,7 Rangos salariales,Colombia
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2016,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2016,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2016,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 2,5 y 3 SMMLV","Entre 2,5 y 4 SMMLV",1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2016,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 3,5 y 4 SMMLV","Entre 2,5 y 4 SMMLV",1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2016,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 4 y 4,5 SMMLV",Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2016,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,5
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2016,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2017,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2017,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2017,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 3,5 y 4 SMMLV","Entre 2,5 y 4 SMMLV",1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2017,Dependiente,Sin información,"Entre 3 y 3,5 SMMLV","Entre 2,5 y 4 SMMLV",1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2017,Dependiente,Sin información,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,5
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2017,Dependiente,Sin información,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2017,Dependiente,Sin información,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2018,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2018,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2018,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2018,Dependiente,Sin información,"Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",2
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2018,Dependiente,Sin información,"Entre 2 y 2 ,5 SMMLV","Entre 1,5 y 2,5 SMMLV",1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2018,Dependiente,Sin información,"Entre 3 y 3,5 SMMLV","Entre 2,5 y 4 SMMLV",1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2018,Dependiente,Sin información,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,4
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2018,Dependiente,Sin información,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,2
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2019,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2019,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2019,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,3
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2019,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,3
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2019,Dependiente,Sin información,"Entre 3 y 3,5 SMMLV","Entre 2,5 y 4 SMMLV",1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2019,Dependiente,Sin información,"Entre 3,5 y 4 SMMLV","Entre 2,5 y 4 SMMLV",1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2019,Dependiente,Sin información,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2020,Dependiente,"Actividades profesionales, científicas y técnicas",1 SMMLV,1 SMMLV,4
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2020,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2020,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2020,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2020,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2020,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2021,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2021,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2021,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,5
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2021,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2021,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2022,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,5
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2022,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,3
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2022,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2023,Dependiente,Actividades financieras y de seguros,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2023,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,5
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2023,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,2
1826-Universidad Antonio Nariño,16116-ESPECIALIZACION EN COMPUTACION PARA LA DOCENCIA,Masculino,2010-1,2023,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1826-Universidad Antonio Nariño,9716-ESPECIALIZACION EN FINANZAS,Femenino,2010-1,2016,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,2
1826-Universidad Antonio Nariño,9716-ESPECIALIZACION EN FINANZAS,Femenino,2010-1,2017,Dependiente,"Suministro de electricidad, gas, vapor y aire acondicionado",Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,2
1826-Universidad Antonio Nariño,9716-ESPECIALIZACION EN FINANZAS,Femenino,2010-1,2018,Dependiente,"Suministro de electricidad, gas, vapor y aire acondicionado",Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,2
1826-Universidad Antonio Nariño,9716-ESPECIALIZACION EN FINANZAS,Femenino,2010-1,2019,Dependiente,"Suministro de electricidad, gas, vapor y aire acondicionado",Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,2
1826-Universidad Antonio Nariño,9716-ESPECIALIZACION EN FINANZAS,Femenino,2010-1,2020,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,2
1826-Universidad Antonio Nariño,9716-ESPECIALIZACION EN FINANZAS,Femenino,2010-1,2021,Dependiente,"Suministro de electricidad, gas, vapor y aire acondicionado",Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1826-Universidad Antonio Nariño,9716-ESPECIALIZACION EN FINANZAS,Femenino,2010-1,2021,Dependiente,"Suministro de electricidad, gas, vapor y aire acondicionado",Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1826-Universidad Antonio Nariño,9716-ESPECIALIZACION EN FINANZAS,Femenino,2010-1,2022,Dependiente,"Actividades profesionales, científicas y técnicas",Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,2
1826-Universidad Antonio Nariño,9716-ESPECIALIZACION EN FINANZAS,Femenino,2010-1,2023,Dependiente,"Suministro de electricidad, gas, vapor y aire acondicionado",Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,2
1823-Universidad Autónoma de Bucaramanga - UNAB,51809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2016,Dependiente,"Agricultura, ganadería, caza, silvicultura y pesca","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,51809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2017,Dependiente,"Agricultura, ganadería, caza, silvicultura y pesca","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,51809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2018,Dependiente,"Agricultura, ganadería, caza, silvicultura y pesca","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,51809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2019,Dependiente,"Agricultura, ganadería, caza, silvicultura y pesca","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,51809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2020,Dependiente,"Agricultura, ganadería, caza, silvicultura y pesca","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,51809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2021,Dependiente,"Agricultura, ganadería, caza, silvicultura y pesca","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,51809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2022,Dependiente,"Agricultura, ganadería, caza, silvicultura y pesca","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,51809-ADMINISTRACION DE EMPRESAS,Masculino,2010-1,2023,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,15441-CONTADURIA PUBLICA,Femenino,2010-1,2016,Dependiente,Educación,1 SMMLV,1 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,15441-CONTADURIA PUBLICA,Femenino,2010-1,2017,Dependiente,Sin información,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,15441-CONTADURIA PUBLICA,Femenino,2010-1,2018,Dependiente,Sin información,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,15441-CONTADURIA PUBLICA,Femenino,2010-1,2019,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,15441-CONTADURIA PUBLICA,Femenino,2010-1,2020,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,15441-CONTADURIA PUBLICA,Femenino,2010-1,2021,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,15441-CONTADURIA PUBLICA,Femenino,2010-1,2022,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,15441-CONTADURIA PUBLICA,Femenino,2010-1,2023,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,"Entre 1 y 1,5 SMMLV","Entre 1 y 1,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,10363-ESPECIALIZACION EN EDUCACION CON NUEVAS TECNOLOGIAS,Femenino,2010-1,2016,Dependiente,Sin información,"Entre 2 y 2 ,5 SMMLV","Entre 1,5 y 2,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2012,Dependiente,Sin información,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2012,Dependiente,Sin información,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2013,Dependiente,Sin información,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2013,Dependiente,Sin información,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2014,Dependiente,Información y comunicaciones,"Entre 4,5 y 5 SMMLV",Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2014,Dependiente,Información y comunicaciones,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2015,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2015,Dependiente,Información y comunicaciones,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2016,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 5 y 6 SMMLV,Entre 4 y 6 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2016,Dependiente,Información y comunicaciones,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2017,Dependiente,Actividades de servicios administrativos y de apoyo,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2017,Dependiente,Sin información,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2018,Dependiente,Actividades de servicios administrativos y de apoyo,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2018,Dependiente,Sin información,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2019,Dependiente,Actividades de servicios administrativos y de apoyo,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2019,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2020,Dependiente,Actividades de servicios administrativos y de apoyo,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2020,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2021,Dependiente,Actividades de servicios administrativos y de apoyo,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2021,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2022,Dependiente,Actividades de servicios administrativos y de apoyo,Entre 6 y 7 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2022,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2023,Dependiente,"Actividades profesionales, científicas y técnicas","Entre 1,5 y 2 SMMLV","Entre 1,5 y 2,5 SMMLV",1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Femenino,2010-1,2023,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Masculino,2010-1,2012,Dependiente,Sin información,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Masculino,2010-1,2012,Dependiente,Sin información,Entre 11 y 13 SMMLV,Más de 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Masculino,2010-1,2013,Dependiente,Sin información,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Masculino,2010-1,2013,Dependiente,Sin información,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Masculino,2010-1,2014,Dependiente,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Entre 7 y 8 SMMLV,Entre 6 y 9 SMMLV,1
1823-Universidad Autónoma de Bucaramanga - UNAB,52419-MAESTRIA EN E-LEARNING,Masculino,2010-1,2014,Dependiente,Educación,Entre 8 y 9 SMMLV,Entre 6 y 9 SMMLV,1
